Catalog Number,Barcode,Catalog,Class,Order,Family,Scientific Name,Type Status,Type Citation,Other Identifications,Sex and Stage,Preparation,Bioregion,Distribution,Country,Province/State,District/County,Precise Locality,Elevation (m),Centroid Latitude,Centroid Longitude,Field Number,Collector(s),Collecting Date,Specimen Count,Record Status,Genetic Sample Type,Biorepository Number,Bold ID,GenBank Numbers,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
"USNMENT   672749","USNMENT00672749","Specimen Inventory","Insecta","Lepidoptera","Papilionidae","Parides tros","","","","1 adult female","pinned","","","Brazil","Rio de Janeiro","[Not Stated]","Rio de Janeiro","","","","","[Not Stated]","([Not Stated])",1,"","","","","","","","","20 Mar 2020 16:28:00","http://n2t.net/ark:/65665/3fd614cf3-e31e-4aca-b61d-c29f51d593a7"
"USNMENT   672756","USNMENT00672756","Specimen Inventory","Insecta","Lepidoptera","Papilionidae","Parides tros","","","","1 adult male","pinned","","","Brazil","Santa Catarina","[Not Stated]","N. Friburgo","","","","","[Not Stated]","([Not Stated])",1,"","","","","","","","","20 Mar 2020 16:28:00","http://n2t.net/ark:/65665/373876892-c1c5-46b8-9c70-7afc8891ecc7"
"USNMENT   673825","USNMENT00673825","Specimen Inventory","Insecta","Lepidoptera","Papilionidae","Parides vertumnus","","","","1 adult male","pinned","","","France","French Guiana","[Not Stated]","Cayenne","","","","","[Not Stated]","([Not Stated])",1,"","","","","","","","","20 Mar 2020 16:29:00","http://n2t.net/ark:/65665/353658d0f-cd0a-46e1-bbf2-5a165e7b5e97"
"USNMENT   673827","USNMENT00673827","Specimen Inventory","Insecta","Lepidoptera","Papilionidae","Parides vertumnus","","","","1 adult female","pinned","","","France","French Guiana","[Not Stated]","Cayenne","","","","","[Not Stated]","Dec 1903 (December, 1903)",1,"","","","","","","","","20 Mar 2020 16:29:00","http://n2t.net/ark:/65665/337b7feb5-1ee9-4400-afc6-bb397f0a22c7"
"USNMENT   673040","USNMENT00673040","Specimen Inventory","Insecta","Lepidoptera","Papilionidae","Parides zacynthus","","","","1 adult male","pinned","","","Brazil","[Not Stated]","[Not Stated]","Paulista, Recife, Parnam.","","","","","Kesselring, J.","Jan 1970 (Jan-70)",1,"","","","","","","","","03 Oct 2019 17:07:00","http://n2t.net/ark:/65665/33a204de2-b5a7-4877-8d0e-2cef418564e0"
"USNMENT   673042","USNMENT00673042","Specimen Inventory","Insecta","Lepidoptera","Papilionidae","Parides zacynthus","","","","1 adult female","pinned","","","Brazil","[Not Stated]","[Not Stated]","Paulista, Recife, Parnam.","","","","","Kesselring, J.","Jan 1970 (January, 1970)",1,"","","","","","","","","03 Oct 2019 17:08:00","http://n2t.net/ark:/65665/37988dc0b-9b0a-4c27-95d1-56ae576bde89"
"USNMENT   781496","USNMENT00781496","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Patia cordillera","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/37c63ada0-83c0-4b62-9cdd-4a62b00a39d3"
"USNMENT   781495","USNMENT00781495","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Patia cordillera","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3c7b93e50-abb7-43cd-bc0d-1b0139399279"
"USNMENT   781498","USNMENT00781498","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Patia orise","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","23 Mar 2020 09:34:00","http://n2t.net/ark:/65665/348bb241a-5f95-4867-a9c4-980d806377cb"
"USNMENT   781497","USNMENT00781497","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Patia orise","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","23 Mar 2020 09:34:00","http://n2t.net/ark:/65665/3aa919c64-e14d-40dc-b70b-0408213ab8dc"
"USNMENT   781499","USNMENT00781499","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Patia rhetes","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:41:00","http://n2t.net/ark:/65665/39ace389b-51a1-4384-a502-35c67bbc9be1"
"USNMENT   804280","USNMENT00804280","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Pereute antodyca","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3a549e844-b149-42a5-8e88-c5d2d1cda0b2"
"USNMENT   804281","USNMENT00804281","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Pereute antodyca","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3df664dae-a116-4f84-9694-c466cc2fcee2"
"USNMENT   804283","USNMENT00804283","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Pereute callinice","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/32e749108-7b81-42b5-abad-68c940ed419a"
"USNMENT   804282","USNMENT00804282","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Pereute callinice","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3a3c01dd5-e12a-4c62-9d61-d6fdc9c17841"
"USNMENT   804284","USNMENT00804284","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Pereute callinira","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/339eac472-c87c-4d52-8d3d-b9bd5d106a31"
"USNMENT   804285","USNMENT00804285","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Pereute charops","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/372aaef48-abed-4272-8975-57d9a8a2a2e8"
"USNMENT   804286","USNMENT00804286","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Pereute charops","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","23 Mar 2020 09:34:00","http://n2t.net/ark:/65665/38e240a31-8182-47ed-99f5-38f1d9583f10"
"USNMENT   804287","USNMENT00804287","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Pereute cheops","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","23 Mar 2020 09:35:00","http://n2t.net/ark:/65665/382500d8b-df95-4808-8892-47409ca775e7"
"USNMENT   804288","USNMENT00804288","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Pereute leucodrosime","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3d5919002-ae54-4749-9f31-ad5d370e5fc8"
"USNMENT   804289","USNMENT00804289","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Pereute leucodrosime","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","23 Mar 2020 09:35:00","http://n2t.net/ark:/65665/3c4a16c4a-9c2d-439c-afc8-1978374f5759"
"USNMENT   804290","USNMENT00804290","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Pereute lindemannae","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","23 Mar 2020 09:35:00","http://n2t.net/ark:/65665/3bf8b64e1-e19a-466a-bb3e-1f6f8857c62d"
"USNMENT   804291","USNMENT00804291","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Pereute swainsoni","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","23 Mar 2020 09:35:00","http://n2t.net/ark:/65665/35fca239d-49ad-4337-ad52-8060e36d9325"
"USNMENT   804292","USNMENT00804292","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Pereute telthusa","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","23 Mar 2020 09:35:00","http://n2t.net/ark:/65665/30f2a40b0-43a4-4f83-8684-3e208ac95007"
"USNMENT   781824","USNMENT00781824","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Perrhybris lorena","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","23 Mar 2020 09:35:00","http://n2t.net/ark:/65665/3cc50a632-cbf3-4193-bbda-ab365cb26b73"
"USNMENT   781825","USNMENT00781825","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Perrhybris lorena","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","23 Mar 2020 09:35:00","http://n2t.net/ark:/65665/3710406a6-0cf3-4729-9f51-f6fb6abc8625"
"USNMENT   781826","USNMENT00781826","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Perrhybris lypera","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","23 Mar 2020 09:36:00","http://n2t.net/ark:/65665/30047d90c-c8db-41a1-b22a-13bee4ee7133"
"USNMENT   781827","USNMENT00781827","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Perrhybris lypera","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/34f9849dc-a883-4062-a276-7fd392c43ffe"
"USNMENT   781828","USNMENT00781828","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Perrhybris pamela","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3e287ce40-fe95-4536-861d-55560555fc00"
"USNMENT   781829","USNMENT00781829","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Perrhybris pamela","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/37d7aab99-6020-4bea-b31f-e6177ec8bd51"
"USNMENT   672383","USNMENT00672383","Specimen Inventory","Insecta","Lepidoptera","Papilionidae","Pharmacophagus antenor","","","","1 adult","pinned","","","Madagascar","[Not Stated]","[Not Stated]","[Not Stated]","","","","","[Not Stated]","Oct 1980 (October, 1980)",1,"","","","","","","","","20 Mar 2020 16:29:00","http://n2t.net/ark:/65665/36671b8bf-af74-4e40-ab0b-6b1b8b00857f"
"USNMENT   672393","USNMENT00672393","Specimen Inventory","Insecta","Lepidoptera","Papilionidae","Pharmacophagus antenor","","","","1 adult","pinned","","","Madagascar","Boeny","[Not Stated]","Majunga","",-15.7125,46.3189,"","Stehle, E.","29 Jan 1953 (29-Jan-53)",1,"","","","","","","","","20 Mar 2020 16:30:00","http://n2t.net/ark:/65665/3f976c830-5a3f-4d46-b4b8-b7d37a63417c"
"USNMENT   781246","USNMENT00781246","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Phoebis agarithe","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/33054d277-55e5-48e9-b7b6-8c7e4162ca72"
"USNMENT   781245","USNMENT00781245","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Phoebis agarithe","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3e34d09ba-d47c-4f75-a0ac-76f53a4c598a"
"USNMENT   781247","USNMENT00781247","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Phoebis argante","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3da0301ee-c726-4baa-b81b-a97c1c085b1b"
"USNMENT   781248","USNMENT00781248","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Phoebis argante","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/341e0a3ad-32ad-4c8e-8c1d-b11e38dbee79"
"USNMENT   781250","USNMENT00781250","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Phoebis avellanada","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3f8a5a644-d684-4f0f-a52b-4a72efd83b54"
"USNMENT   781249","USNMENT00781249","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Phoebis avellanada","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3e5dd923a-9451-40bd-aabb-0ba6b203ec1b"
"USNMENT   781251","USNMENT00781251","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Phoebis bourkei","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/33bee55ce-3291-47b7-ab2b-d6e2431ef775"
"USNMENT   781252","USNMENT00781252","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Phoebis bourkei","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/38eda24a5-22ef-4ec4-b128-27e4294035e7"
"USNMENT   781253","USNMENT00781253","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Phoebis editha","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3c3700440-8fab-4ef8-817b-0531c922e059"
"USNMENT   781255","USNMENT00781255","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Phoebis neocypris","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/335f31d12-0906-4733-9728-57bacf85dcdc"
"USNMENT   781254","USNMENT00781254","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Phoebis neocypris","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","23 Mar 2020 09:36:00","http://n2t.net/ark:/65665/37d59842d-1d25-4286-a3f2-39bcb7133d4b"
"USNMENT   781256","USNMENT00781256","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Phoebis philea","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3cfdd9c35-8d14-4761-99df-5d51a2ad5df6"
"USNMENT   781257","USNMENT00781257","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Phoebis philea","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","23 Mar 2020 09:37:00","http://n2t.net/ark:/65665/3d9ace3bf-ed6f-40ba-83c0-c3af5bccadf1"
"USNMENT   781015","USNMENT00781015","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Phoebis sennae","","Pomona College Journal of Entomology and Zoology. 28 (2): 20.","Phoebis sennae eubule f. browni Field, 1936","1 Adult Female","Pinned","","","United States","Kansas","Douglas","Lawrence","",38.9717,-95.2353,"","Price, R. H.","14 Sep 1935 (IX. 14. 1935)",1,"Unreviewed, Aug 2009, legacy data of uncertain quality.. Reviewed, Aug 2012, revised by Gerardo Lamas.","","","","","","","","30 Dec 2013 16:17:00","http://n2t.net/ark:/65665/38765159e-8263-41a0-9ab9-eea4fd75b86f"
"USNMENT   781258","USNMENT00781258","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Phoebis sennae","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","23 Mar 2020 09:37:00","http://n2t.net/ark:/65665/31ada886a-0cc8-49cc-86ef-8134b2752764"
"USNMENT   781259","USNMENT00781259","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Phoebis sennae","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:41:00","http://n2t.net/ark:/65665/3f3413ce4-4f35-45e9-9015-89125c068f5d"
"USNMENT  1434564","USNMENT01434564","Specimen Inventory","Insecta","Lepidoptera","Gelechiidae","Phthorimaea operculella (Zeller, 1873)","","","","1 Adult","Pinned","","","[Not Stated]","[Not Stated]","[Not Stated]","[not stated]","","","","","","",1,"","","","","","","","","18 Sep 2017 10:30:00","http://n2t.net/ark:/65665/3622ea9c6-de5f-406b-becf-444d0a54d2df"
"USNMENT  1434655","USNMENT01434655","Specimen Inventory","Insecta","Lepidoptera","Gelechiidae","Phthorimaea operculella (Zeller, 1873)","","","","1 Adult","Pinned; Slide","","","[Not Stated]","[Not Stated]","[Not Stated]","[not stated]","","","","","","",1,"","","","","","","","","18 Sep 2017 10:35:00","http://n2t.net/ark:/65665/38dde195a-b34f-479e-bf52-01e71bfdfd3a"
"USNMENT  1434685","USNMENT01434685","Specimen Inventory","Insecta","Lepidoptera","Gelechiidae","Phthorimaea operculella (Zeller, 1873)","","","","1 Adult Male","Pinned; Slide","","","United States","California","San Diego","Del Mar","",32.955,-117.264,"","Flanders, S. E.","",1,"","","","","","","","","18 Sep 2017 10:37:00","http://n2t.net/ark:/65665/30b381d26-e949-4794-9e0b-cb9b814e7671"
"USNMENT   781925","USNMENT00781925","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Phulia garleppi","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/33d11ca10-d5ed-4dd3-99f3-611c503826c3"
"USNMENT   781926","USNMENT00781926","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Phulia garleppi","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","23 Mar 2020 09:37:00","http://n2t.net/ark:/65665/3eb89af50-af09-4a9f-86de-585f907e53ec"
"USNMENT   781928","USNMENT00781928","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Phulia nannophyes","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3672f0c2b-adb5-4cbf-bb60-84fe77bf61d8"
"USNMENT   781927","USNMENT00781927","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Phulia nannophyes","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/33b40ac12-7ee1-48d7-a192-7c365c4f2ee2"
"USNMENT   781930","USNMENT00781930","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Phulia nymphula","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3b74f9bc1-f720-46bf-aefa-635b6021963d"
"USNMENT   781929","USNMENT00781929","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Phulia nymphula","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/36a5b70f1-85bf-4b58-9dde-f38f21340ce1"
"USNMENT   781932","USNMENT00781932","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Phulia paranympha","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","23 Mar 2020 09:37:00","http://n2t.net/ark:/65665/30e117ada-7fe1-49d9-a6fb-4bc4bff4b8e5"
"USNMENT   781931","USNMENT00781931","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Phulia paranympha","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/333b5844a-b47e-430d-bb76-8fedc48d4b96"
"USNMENT   781921","USNMENT00781921","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Piercolias forsteri","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/347b4780f-a149-4ad9-82d8-1ea44c395875"
"USNMENT   781920","USNMENT00781920","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Piercolias forsteri","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","23 Mar 2020 09:38:00","http://n2t.net/ark:/65665/3a2367a3d-1b58-464e-83ab-48d125ff28ff"
"USNMENT   781823","USNMENT00781823","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Pieriballia viardi","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","23 Mar 2020 09:38:00","http://n2t.net/ark:/65665/3724df480-cc7a-4d71-a7b8-432a4b5bf70f"
"USNMENT   781822","USNMENT00781822","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Pieriballia viardi","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3d440bc6f-0c1c-4187-a2d3-b459100f0408"
"USNMENT   781762","USNMENT00781762","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Pieris balcana","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3e78a894b-79c6-4e5f-9c7d-db945144bf48"
"USNMENT   781761","USNMENT00781761","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Pieris balcana","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3f90597aa-a566-474e-b203-a6f8918ed8c8"
"USNMENT   781763","USNMENT00781763","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Pieris brassicae","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/381837cf7-69d0-4ef9-800f-958e27cce15c"
"USNMENT   781764","USNMENT00781764","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Pieris brassicae","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/333937f47-5181-4286-b1df-f58d48bfcf9e"
"USNMENT   781765","USNMENT00781765","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Pieris brassicoides","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","23 Mar 2020 09:38:00","http://n2t.net/ark:/65665/3db107132-a279-4225-9595-6a8e98c1bf8b"
"USNMENT   781766","USNMENT00781766","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Pieris brassicoides","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3f62ff1f8-664d-46cf-813d-fffe30695524"
"USNMENT   781780","USNMENT00781780","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Pieris bryoniae","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/31a40fd10-c93e-4dbf-a4b5-8f3d08fab9c6"
"USNMENT   781779","USNMENT00781779","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Pieris bryoniae","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/327f82503-013b-4cc0-bbdb-2f72930fc41d"
"USNMENT   781772","USNMENT00781772","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Pieris canidia","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3741dd639-3ea2-4259-b862-a46ef977db97"
"USNMENT   781771","USNMENT00781771","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Pieris canidia","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/35876267b-b4bb-4f89-a734-2130930e7091"
"USNMENT   781782","USNMENT00781782","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Pieris davidis","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/31179df5e-76b8-4ef0-9f3b-2411553a1498"
"USNMENT   781781","USNMENT00781781","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Pieris davidis","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/32d2483aa-ab63-4b2d-9f7b-6866310077a0"
"USNMENT   781768","USNMENT00781768","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Pieris deota","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:41:00","http://n2t.net/ark:/65665/3be003879-112b-4550-b319-026f9044b986"
"USNMENT   781767","USNMENT00781767","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Pieris deota","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/369a3e04e-bf6e-4dfc-89f3-f2eb5d8faf7e"
"USNMENT   781784","USNMENT00781784","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Pieris dulcinea","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3cba1a0ff-3b83-4657-9bd3-de011faa34b8"
"USNMENT   781783","USNMENT00781783","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Pieris dulcinea","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3d3de41b9-8422-4f1d-b4df-721ec49b1465"
"USNMENT   781786","USNMENT00781786","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Pieris ergane","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3dbbfcdac-ef79-4c59-856e-dc52ee9843ef"
"USNMENT   781785","USNMENT00781785","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Pieris ergane","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","23 Mar 2020 09:39:00","http://n2t.net/ark:/65665/3e773be3a-f504-410d-a624-005a33c74eea"
"USNMENT   781787","USNMENT00781787","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Pieris extensa","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/390f86370-e624-4416-8e63-46dbe10893c3"
"USNMENT   781788","USNMENT00781788","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Pieris extensa","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3564edaa1-f37b-4185-8e47-a9e1bf93e972"
"USNMENT   781789","USNMENT00781789","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Pieris koslovi","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","23 Mar 2020 09:39:00","http://n2t.net/ark:/65665/3f9718197-6ec4-4fad-be8e-3bd4d6a16059"
"USNMENT   781790","USNMENT00781790","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Pieris koslovi","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3cb3927c6-ffea-45f5-b127-91919814f18f"
