Catalog Number,Barcode,Catalog,Class,Order,Family,Scientific Name,Type Status,Type Citation,Other Identifications,Sex and Stage,Preparation,Bioregion,Distribution,Country,Province/State,District/County,Precise Locality,Elevation (m),Centroid Latitude,Centroid Longitude,Field Number,Collector(s),Collecting Date,Specimen Count,Record Status,Genetic Sample Type,Biorepository Number,Bold ID,GenBank Numbers,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
"USNMENT   781525","USNMENT00781525","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Anthocharis cardamines","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3e4af3534-bce8-4453-8bce-2dfe9e454cbd"
"USNMENT   781526","USNMENT00781526","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Anthocharis cardamines","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3c1b3701b-e177-4976-b4aa-84858f6f0206"
"USNMENT   781527","USNMENT00781527","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Anthocharis cethura","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","20 Mar 2020 16:36:00","http://n2t.net/ark:/65665/3c74e90b6-eca2-421c-b881-d3b6902d59c2"
"USNMENT   781529","USNMENT00781529","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Anthocharis damone","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","20 Mar 2020 16:36:00","http://n2t.net/ark:/65665/34583dc33-4ff1-42d7-8c4a-a7c6efc0afd5"
"USNMENT   781528","USNMENT00781528","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Anthocharis damone","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3e9bd1ede-ebc2-4326-8bae-b2b87a9ace59"
"USNMENT   781531","USNMENT00781531","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Anthocharis euphenoides","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","20 Mar 2020 16:38:00","http://n2t.net/ark:/65665/34537cfe9-c1e9-4da7-a40a-95c0450b6d20"
"USNMENT   781530","USNMENT00781530","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Anthocharis euphenoides","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3977ba39f-1159-43b1-8051-053d0dbbf9f6"
"USNMENT   781532","USNMENT00781532","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Anthocharis gruneri","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3e3e7856c-18ed-4bdf-915e-3bf267ac0d14"
"USNMENT   781533","USNMENT00781533","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Anthocharis gruneri","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","20 Mar 2020 16:38:00","http://n2t.net/ark:/65665/36573823f-e22a-4f0b-ba1f-f4174e079f3d"
"USNMENT   781535","USNMENT00781535","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Anthocharis lanceolata Boisduval, 1852","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/35508af9d-032b-4a96-893f-88f2baf82b38"
