TOWN,WMU,MALE,FEMALE,TOTAL,HSM,year
BETHLEHEM,(D1/D2W/E),33,5,38,0.42,2022
BOSCAWEN,(I1),26,8,34,1.38,2022
BOW,(I1/K/L),42,34,76,2.71,2022
BRADFORD,(I2),21,5,26,0.74,2022
BRENTWOOD,(L/M),50,38,88,5.24,2022
BRIDGEWATER,(G2),24,7,31,1.44,2022
BRISTOL,(G2/I1),22,18,40,2.38,2022
BROOKFIELD,(J1/J2),16,12,28,1.23,2022
BROOKLINE,(K/M),34,17,51,2.57,2022
CAMBRIDGE,(B/C2),13,3,16,0.31,2022
CAMPTON,(F),36,3,39,0.75,2022
CANAAN,(G1/G2),73,40,113,2.13,2022
CANDIA,(L/M),39,19,58,1.92,2022
CANTERBURY,(I1/J2),63,20,83,1.9,2022
CARROLL,(D1/E),10,0,10,0.2,2022
CENTER_HARBOR,(J1/J2),18,10,28,2.11,2022
CHARLESTOWN,(H1),49,32,81,2.28,2022
CHATHAM,(E),17,1,18,0.32,2022
CHESTER,(M),52,27,79,3.04,2022
CHESTERFIELD,(H2),59,21,80,1.76,2022
CHICHESTER,(J2/L),37,25,62,2.95,2022
CLAREMONT,(H1),65,47,112,2.61,2022
CLARKSVILLE,(A),40,7,47,0.78,2022
COLEBROOK,(A/B),36,11,47,1.16,2022
COLUMBIA,(B),35,5,40,0.66,2022
CONCORD,(I1/J2/K/L),79,49,128,2.01,2022
CONWAY,(E/F/J1),63,16,79,1.14,2022
CORNISH,(H1),80,37,117,2.79,2022
CROYDON,(H1/I2),27,9,36,0.98,2022
DALTON,(D1),23,2,25,0.91,2022
DANBURY,(G1/G2/I1),19,10,29,0.77,2022
DANVILLE,(M),19,10,29,2.5,2022
DEERFIELD,(L),78,64,142,2.79,2022
DEERING,(K),26,11,37,1.22,2022
DERRY,(M),70,40,110,3.12,2022
DIXS,GRANT,(A),2,0,2,0.1,2022
DIXVILLE,(A/B),6,0,6,0.12,2022
DORCHESTER,(G1/G2),4,0,4,0.09,2022
DOVER,(L),86,55,141,5.28,2022
DUBLIN,(H2),25,12,37,1.32,2022
DUMMER,(B/C1/C2),30,2,32,0.67,2022
DUNBARTON,(K),58,29,87,2.98,2022
DURHAM,(L),61,68,129,5.77,2022
EAST_KINGSTON,(M),45,23,68,6.89,2022
EASTON,(D2E/D2W),15,0,15,0.48,2022
EATON,(J1),13,6,19,0.78,2022
EFFINGHAM,(J1),41,5,46,1.19,2022
ENFIELD,(G1/H1),68,61,129,3.21,2022
EPPING,(L/M),62,43,105,4.08,2022
EPSOM,(J2/L),54,47,101,2.96,2022
ERROL,(A/B/C2),23,3,26,0.43,2022
ERVINGS_LOCATION,(B),1,0,1,0.27,2022
EXETER,(L/M),45,23,68,3.47,2022
FARMINGTON,(J2),62,25,87,2.4,2022
FITZWILLIAM,(H2),64,34,98,2.83,2022
FRANCESTOWN,(K),34,21,55,1.86,2022
FRANCONIA,(D1/D2E/D2W/E),12,4,16,0.24,2022
FRANKLIN,(I1),32,21,53,1.94,2022
FREEDOM,(J1),48,21,69,2,2022
FREMONT,(M),24,11,35,2.03,2022
GILFORD,(J2),49,15,64,1.65,2022
GILMANTON,(J2),84,51,135,2.35,2022
GILSUM,(H2),18,6,24,1.45,2022
GOFFSTOWN,(K),57,35,92,2.49,2022
GORHAM,(C1/C2/E),15,1,16,0.5,2022
GOSHEN,(H1/I2),27,8,35,1.56,2022
GRAFTON,(G1/G2),24,6,30,0.72,2022
GRANTHAM,(G1/H1/I2),25,7,32,1.18,2022
GREENFIELD,(K),24,15,39,1.48,2022
GREENLAND,(M),33,28,61,5.76,2022
GREENVILLE,(K),12,10,22,3.21,2022
GROTON,(G1/G2),18,1,19,0.47,2022
HADLEYS_PURCHASE,(E),1,0,1,0.14,2022
HAMPSTEAD,(M),14,17,31,2.32,2022
HAMPTON,(M),17,9,26,2,2022
HAMPTON_FALLS,(M),22,14,36,2.99,2022
HANCOCK,(H2/K),23,16,39,1.31,2022
HANOVER,(G1),80,111,191,3.9,2022
HARRISVILLE,(H2),17,8,25,1.33,2022
HAVERHILL,(D2W),90,79,169,3.31,2022
HEBRON,(G2),12,5,17,1.02,2022
HENNIKER,(I2/K),53,20,73,1.74,2022
HILL,(I1),8,1,9,0.34,2022
HILLSBOROUGH,(H2/I2/K),38,18,56,1.3,2022
HINSDALE,(H2),33,20,53,2.59,2022
HOLDERNESS,(F/G2/J1/J2),21,8,29,0.95,2022
