X,Y,point_n
371.908,405.978,766
373.111,404.643,767
374.313,403.313,768
375.503,401.976,769
376.672,400.622,770
377.81,399.239,771
378.911,397.822,772
379.998,396.389,773
381.103,394.97,774
382.259,393.598,775
383.499,392.302,776
384.856,391.112,777
386.36,390.055,778
388.019,389.128,779
389.835,388.32,780
391.811,387.619,781
393.947,387.014,782
396.247,386.494,783
398.711,386.046,784
401.34,385.661,785
404.115,385.332,786
407.012,385.051,787
410.008,384.815,788
413.08,384.618,789
416.203,384.453,790
419.354,384.315,791
422.509,384.198,792
425.645,384.098,793
428.738,384.007,794
431.768,383.922,795
434.729,383.838,796
437.621,383.751,797
440.446,383.661,798
443.202,383.562,799
445.891,383.453,800
448.512,383.33,801
451.066,383.191,802
453.553,383.031,803
455.973,382.85,804
458.332,382.645,805
460.638,382.415,806
462.898,382.161,807
465.119,381.883,808
467.31,381.579,809
469.477,381.249,810
471.628,380.893,811
473.768,380.512,812
475.897,380.11,813
478.015,379.69,814
480.121,379.257,815
482.216,378.815,816
484.299,378.368,817
486.37,377.92,818
488.426,377.473,819
490.458,377.026,820
492.458,376.579,821
494.415,376.129,822
496.322,375.675,823
498.167,375.215,824
499.943,374.749,825
501.666,374.276,826
503.374,373.795,827
505.105,373.307,828
506.897,372.811,829
508.79,372.308,830
510.82,371.798,831
512.991,371.28,832
515.262,370.758,833
517.59,370.231,834
519.93,369.701,835
522.239,369.17,836
524.471,368.639,837
526.584,368.109,838
528.539,367.581,839
530.351,367.058,840
532.053,366.541,841
533.683,366.031,842
535.276,365.53,843
536.868,365.04,844
538.489,364.56,845
540.146,364.083,846
541.835,363.597,847
543.554,363.091,848
545.301,362.555,849
547.073,361.975,850
548.865,361.349,851
550.666,360.689,852
552.462,360.015,853
554.241,359.347,854
555.99,358.703,855
557.696,358.103,856
559.35,357.561,857
560.975,357.065,858
562.605,356.589,859
564.277,356.109,860
566.026,355.599,861
567.888,355.035,862
569.879,354.399,863
571.927,353.713,864
573.933,353.01,865
575.799,352.324,866
577.425,351.688,867
578.713,351.135,868
579.591,350.694,869
580.243,350.335,870
581,350,871
